code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason,yield_used,manual_check_reason,core_buyable_now,satellite_buyable_now,dividend_yield_total_actual,yield_basis,dividend_yield_total_fwd,effective_yield,drop_reason_core,drop_reason_satellite,info_flags
41250,3345.0,2873.4,2162.2266666666665,1981.375,3345.0,1128.0,1815.735,97.3803363518758,0.4203821656050954,1.227030625832224,1.2895277207392195,1.1891361256544504,True,True,True,True,True,True,True,True,True,3.0,3.0,5,4,yf,True,1.0,0.5,0.368801652892562,True,-824000000.0,185000000.0,185669442.0,185000000.0,43.0,2854.65,136.98,4317894.0,3.0,1.0,div_history_short,化学,素材・化学,三和油化工業,0.0128550074738415,0.0128086579947856,False,False,24.419623302671926,1.1717723713940411,-0.0570504550686668,0.7696969696969697,True,False,False,False,False,False,6,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,False,0.6452709080611668,True,7,yield_below_2pct,True,True,False,False,76.19016817593791,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; yield_below_2pct,total,,False,False,0.012808657994785633,dps_fallback,0.012855007473841554,0.012855007473841554,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,yield_below_2pct,
35260,9055897600.0,181121985.9,60376595.21333333,45283130.55,9055897600.0,2428.0,3515.48,99.74126778783958,2198032.3980582524,2192710.283292978,3410883.218455744,2959442.6601307187,True,True,True,True,True,True,True,True,True,10.0,10.0,5,10,yf,False,1.0,1.0,0.2163426925845932,False,3108000000.0,602000000.0,602095500.0,602000000.0,100.0,4138.66,458.52,6020955.0,3.0,1.0,div_split_adjusted,輸送用機器,自動車・輸送機,芦森工業,1.1042527689359033e-08,1.104077620409742e-08,False,False,19750278.286661435,2188123.1123117143,5.700121668161924e-08,1.0,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,1.9163938004802443,True,7,yield_below_2pct,False,False,False,False,75.87063389391979,E_div_yield; F_value_pass; yield_below_2pct,total,,False,False,1.1040776204097419e-08,dps_fallback,1.1042527689359031e-08,1.1042527689359031e-08,E_div_yield; F_value_pass,yield_below_2pct,
76350,678447232.0,13570608.28,4524471.78,3393652.02,678447232.0,1125.0,1371.675,99.61190168175938,397682.01992966,532114.4760784314,556559.4856439704,526335.0993017843,True,True,True,True,True,True,True,True,True,10.0,10.0,5,10,yf,False,1.0,1.0,0.1431541431541431,False,2814000000.0,214000000.0,214602760.0,214000000.0,40.0,2169.44,96.41,5365069.0,3.0,1.0,div_split_adjusted,卸売業,商社・卸売,杉田エース,5.8958159328152434e-08,5.879256210975395e-08,False,False,7037104.366766933,312729.1983184601,7.730947185834e-07,1.0,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,0.8272778088317496,True,7,yield_below_2pct,False,False,False,False,75.80595084087969,E_div_yield; F_value_pass; yield_below_2pct,total,,False,False,5.879256210975395e-08,dps_fallback,5.8958159328152434e-08,5.8958159328152434e-08,E_div_yield; F_value_pass,yield_below_2pct,
63120,1403645824.0,420599721.38,140200581.48,105150617.715,1403645824.0,655.0,925.745,99.67658473479948,1297268.707948244,1263406.5823582355,1963140.0125874125,,True,True,True,True,True,True,True,True,True,9.0,9.0,5,10,yf,False,1.0,1.0,0.259931506849315,False,1291000000.0,422000000.0,422906425.0,422000000.0,25.0,912.56,37.71,16916257.0,2.0,1.0,div_split_adjusted,機械,機械,フロイント産業,1.781076078633352e-08,1.777258657593756e-08,False,False,37222111.48236542,1538140.8608749015,5.437063807946775e-08,0.99375,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,8.57,True,7,yield_below_2pct,False,False,False,False,75.33829236739973,E_div_yield; F_value_pass; yield_below_2pct,total,,False,False,1.777258657593756e-08,dps_fallback,1.781076078633352e-08,1.781076078633352e-08,E_div_yield; F_value_pass,yield_below_2pct,
68000,3090.0,2802.2,2133.1666666666665,1942.37,3745.0,1038.0,1751.815,97.1862871927555,0.4045454545454545,1.1092150170648465,1.3934934159566228,1.06,True,True,True,True,True,True,True,True,True,9.0,9.0,5,10,yf,False,1.0,0.5,0.7016487000634115,True,3154000000.0,1118000000.0,1118912880.0,1118000000.0,48.0,2228.1,95.58,23310685.0,3.0,1.0,,電気機器,電機・精密,ヨコオ,0.0155339805825242,0.015521306977235,False,False,32.328939108600125,1.3868318298101523,0.0437873007211084,0.7329545454545454,True,False,False,False,False,False,6,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,False,1.3168557536466774,True,7,yield_below_2pct,False,False,False,False,74.09314359637776,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; yield_below_2pct,total,,False,False,0.015521306977235024,dps_fallback,0.015533980582524271,0.015533980582524271,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,yield_below_2pct,
58170,1303.0,1353.7190600585936,850.6529378255208,755.8647033691407,2151.0,376.0,635.2697033691406,98.41526520051748,0.3215010141987828,1.6810699588477367,1.9149888143176728,1.8574561403508767,True,True,True,True,False,True,False,True,False,7.0,7.0,5,10,yf,False,0.5,0.5,1.216867469879518,True,,,,,,,,,2.0,1.0,shares_missing,非鉄金属,鉄鋼・非鉄,ＪＭＡＣＳ,,,False,False,,,,,False,False,False,False,False,False,6,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,0.7778993435448577,True,7,TT_not_all_pass; yield_unknown,False,False,False,False,73.70763260025873,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; TT_not_all_pass; yield_unknown,none,,False,False,,none,,,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_unknown,info_tt_not_all_pass
34440,732.0,857.48,574.3666666666667,510.59,1146.0,241.0,460.17,96.70116429495472,0.2302521008403362,1.1466275659824046,1.2662538699690402,1.423841059602649,True,True,True,True,False,True,False,True,False,8.0,8.0,5,10,yf,False,0.0,0.5,0.7058823529411765,True,,,,,,,7.45,,4.0,1.0,shares_missing; div_split_adjusted,金属製品,建設・資材,菊池製作所,,,False,False,98.25503355704696,,,0.9636363636363636,False,False,False,False,False,False,6,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,0.9003290110315464,True,7,TT_not_all_pass; yield_unknown,False,False,False,False,73.35058214747735,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; TT_not_all_pass; yield_unknown,none,,False,False,,none,,,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_unknown,info_tt_not_all_pass
58210,3855.0,3718.26,2888.786666666667,2549.875,4595.0,1027.0,2279.115,97.47736093143595,0.3753121655369247,0.9440242057488653,1.590725806451613,1.7424059187593368,True,True,True,True,True,True,True,True,True,7.0,7.0,5,10,yf,False,1.0,1.0,0.2527790128946198,False,1646000000.0,632000000.0,663734610.0,632000000.0,45.0,2625.11,137.36,14749658.0,3.0,1.0,div_split_adjusted,非鉄金属,鉄鋼・非鉄,平河ヒューテック,0.0116731517509727,0.0111150327185963,False,False,28.064938846825857,1.4685098910140908,0.0289483288841923,0.56,True,False,False,False,False,False,6,E_div_yield,False,0.7092178770949722,True,7,yield_below_2pct,False,False,False,False,73.23868046571798,E_div_yield; yield_below_2pct,total,,False,False,0.011115032718596346,dps_fallback,0.011673151750972763,0.011673151750972763,E_div_yield,yield_below_2pct,
63760,2380.0,2144.5,1731.5266666666666,1616.785,2528.0,1050.0,1501.895,95.18111254851227,0.5034744156664561,0.6212534059945505,1.035928143712575,0.7682020802377414,True,True,True,True,True,True,True,True,True,9.0,9.0,5,10,yf,False,0.6666666666666666,0.6666666666666666,0.5604581673306773,False,-11553000000.0,1987000000.0,1987477200.0,1987000000.0,30.0,2113.07,120.15,66249240.0,12.0,1.0,,精密機器,電機・精密,日機装,0.0126050420168067,0.0126020155035715,False,False,19.80857261756138,1.126323311579834,-0.0732718093169411,0.4411764705882353,True,False,False,False,False,False,6,B_cfo_pos_ratio; E_div_yield,False,0.749130572241543,True,7,yield_below_2pct,False,False,False,False,73.09055627425614,B_cfo_pos_ratio; E_div_yield; yield_below_2pct,total,,False,False,0.012602015503571542,dps_fallback,0.012605042016806723,0.012605042016806723,B_cfo_pos_ratio; E_div_yield,yield_below_2pct,
69200,34970.0,33906.3,27199.93333333333,24546.375,39220.0,10490.0,22548.625,96.53945666235448,0.226157082748948,1.0915071770334928,1.2685695750891988,1.4100620261888357,True,True,True,True,True,True,True,True,True,7.0,7.0,5,10,yf,False,1.0,1.0,0.4792300380228136,False,75454000000.0,29672000000.0,29672627782.0,29672000000.0,329.0,2327.06,938.61,90190358.0,6.0,1.0,div_split_adjusted,電気機器,電機・精密,レーザーテック,0.0094080640549042,0.0094078650090592,False,False,37.25722078392516,15.027545486579632,0.0239235995683997,0.8068181818181818,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,1.135312531556094,True,7,yield_below_2pct,False,False,False,False,72.76972833117723,E_div_yield; F_value_pass; yield_below_2pct,total,,False,False,0.009407865009059262,dps_fallback,0.009408064054904203,0.009408064054904203,E_div_yield; F_value_pass,yield_below_2pct,
