code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason,yield_used,core_buyable_now,satellite_buyable_now,dividend_yield_total_actual,yield_basis,dividend_yield_total_fwd,effective_yield,drop_reason_core,drop_reason_satellite,info_flags,needs_manual_history_check,needs_manual_shares_check,shares_check_reason,manual_dividend_check_reason,history_check_reason,needs_data_fill,data_fill_reason,net_shares_source,core_pass_verified,core_buyable_now_verified
30020,4745.0,4472.7,4059.266666666667,3887.0,4745.0,2357.0,3679.43,73.00970873786407,0.1818181818181818,0.2586206896551724,0.5608552631578947,0.8145315487571703,True,True,True,True,True,True,True,True,True,10.0,True,5,10,yf,True,1.0,1.0,0.6209282818397875,False,4087000000.0,6331000000.0,12663388920.0,6331000000.0,390.0,3667.2,189.7,32470228.0,1.0,div_split_adjusted; yield_split_mismatch,繊維製品,素材・化学,グンゼ,0.0821917808219178,0.0410913830153106,False,True,25.013178703215605,1.293902705061082,0.0265266912626085,0.7142857142857143,True,False,True,False,False,True,6,,True,-1.1143647032272626,True,3,,False,False,False,False,53.50485436893204,OK,total,True,True,0.04109138301531069,fwd,0.0821917808219178,0.0821917808219178,OK,OK,,False,False,,high_yield_risk; yf_high_yield,,False,,yfinance_verified,True,True
21830,321.0,308.22,325.1333333333333,323.0,359.0,263.0,320.665,20.032362459546928,0.0664451827242524,-0.066860465116279,0.0559210526315789,-0.0957746478873239,False,True,True,False,True,False,True,False,False,9.0,True,5,10,yf,True,1.0,1.0,0.440453686200378,False,550000000.0,361000000.0,361382896.0,361000000.0,16.0,321.14,-23.87,22586431.0,1.0,div_split_adjusted,サービス業,情報通信・サービスその他,リニカル,0.04984423676012461,0.0497914252986809,False,False,,0.9995640530609704,0.0758595122279072,,True,False,True,False,False,False,3,,False,-2.3067632850241546,False,0,TT_not_all_pass,False,False,False,False,17.516181229773466,OK,total,False,False,0.04979142529868094,fwd,0.04984423676012461,0.04984423676012461,OK,tt_fail,info_tt_not_all_pass,False,False,,yf_high_yield,,False,,yfinance_verified,True,False
59380,1835.0,1868.39,1842.3166666666664,1793.7475,1990.0,1554.0,1771.56,23.98058252427185,0.033511686848775,-0.0546110252447191,0.1316682084489671,0.0494709751215327,False,True,True,True,False,False,True,False,False,10.0,True,5,10,yf,True,1.0,1.0,0.574503550433942,False,71875000000.0,25855000000.0,25854694740.0,25855000000.0,90.0,2150.86,6.97,287274386.0,1.0,,金属製品,建設・資材,ＬＩＸＩＬ,0.04904632152588556,0.0490469006036994,False,False,263.271162123386,0.8531471132477241,0.1363467793808121,1.0,True,False,True,False,False,False,4,,False,-0.2173038229376257,True,3,TT_not_all_pass,False,False,False,False,28.990291262135923,OK,total,True,False,0.049046900603699456,fwd,0.04904632152588556,0.04904632152588556,OK,tt_fail,info_tt_not_all_pass,False,False,,yf_high_yield,,False,,yfinance_verified,True,True
81250,2048.0,1910.5408642578125,1846.7918188476565,1813.5788641357424,2048.0,1544.0,1787.1777587890624,41.7799352750809,0.1028540656973613,0.1415830546265328,0.125893347993403,0.1577162238552854,True,True,True,True,True,True,True,False,False,5.0,True,5,10,yf,True,1.0,1.0,0.4097069503401012,False,13541000000.0,4945000000.0,4934662400.0,4945000000.0,100.0,2038.5,79.27,49346624.0,1.0,,卸売業,商社・卸売,ワキタ,0.048828125,0.0489304147989941,False,False,25.83575122997351,1.0046602894285013,0.133987208653828,0.8672985781990521,True,False,True,False,False,False,5,,False,0.0122663551401867,False,1,TT_not_all_pass,False,True,False,False,29.38996763754045,OK,total,True,False,0.048930414798994154,fwd,0.048828125,0.048828125,OK,tt_fail,info_tt_not_all_pass,False,False,,yf_high_yield,,False,,yfinance_verified,True,True
52840,2443.0,2444.36,2386.4933333333333,2295.7,2577.0,1528.0,2217.765,41.48867313915858,0.0575757575757576,0.0771604938271603,0.2651475919212842,0.2325933400605448,True,True,True,True,False,True,True,False,False,10.0,True,5,10,yf,True,1.0,1.0,0.3527945888216447,False,1504000000.0,728000000.0,728143626.0,728000000.0,119.0,2019.74,393.61,6118854.0,1.0,,ガラス･土石製品,建設・資材,ヤマウホールディングス,0.04871060171919771,0.0487009935750998,False,False,6.206651253779121,1.2095616267440363,0.1006130416716349,0.054054054054054,True,False,True,False,False,False,5,,False,-0.7433754223723991,True,3,TT_not_all_pass,False,False,True,False,40.74433656957929,OK,total,True,False,0.04870099357509988,fwd,0.04871060171919771,0.04871060171919771,OK,tt_fail,info_tt_not_all_pass,False,False,,yf_high_yield,,False,,yfinance_verified,True,True
59420,575.0,557.48,542.58,532.32,579.0,470.0,524.765,35.40453074433657,0.043557168784029,0.1165048543689319,0.1186770428015564,0.1363636363636364,True,True,True,True,True,False,True,False,False,7.0,True,5,10,yf,True,1.0,1.0,0.4977578475336323,False,958000000.0,559000000.0,551796448.0,559000000.0,28.0,1158.21,31.65,19707016.0,1.0,,金属製品,建設・資材,日本フイルコン,0.04869565217391304,0.0493313606201709,False,False,18.16745655608215,0.4964557377332262,0.0845428326907401,0.7090909090909091,True,False,True,False,False,False,5,,False,-0.1390532544378698,True,3,TT_not_all_pass,False,False,False,False,33.202265372168284,OK,total,True,False,0.04933136062017092,fwd,0.04869565217391304,0.04869565217391304,OK,tt_fail,info_tt_not_all_pass,False,False,,yf_high_yield,,False,,yfinance_verified,True,True
77750,477.0,463.04,454.02,452.08,507.0,437.0,451.81,29.51456310679612,0.0890410958904108,0.0437636761487965,0.084090909090909,-0.0479041916167665,True,True,True,True,True,False,True,False,False,6.0,True,5,10,yf,True,1.0,1.0,0.539974348011971,False,952000000.0,660000000.0,660754051.0,660000000.0,23.0,260.53,38.21,28728437.0,1.0,div_split_adjusted,精密機器,電機・精密,大研医器,0.04821802935010482,0.0481630030461503,False,False,12.483643025386025,1.8308831996315205,0.0694714831817198,0.088235294117647,True,False,True,False,False,False,4,,False,-0.1590372817366682,True,3,TT_not_all_pass,False,False,False,False,29.75728155339806,OK,total,True,False,0.04816300304615035,fwd,0.04821802935010482,0.04821802935010482,OK,tt_fail,info_tt_not_all_pass,False,False,,yf_high_yield,,False,,yfinance_verified,True,True
47250,1934.0,2005.7455297851564,2072.824480794271,2062.988360595703,2220.0,1839.0,2067.533360595703,10.032362459546926,-0.0684007707129094,-0.0975268315445636,-0.0430479960415636,-0.0051440329218106,False,True,False,False,False,False,True,False,False,8.0,True,5,10,yf,True,1.0,1.0,0.4734982332155477,False,4385000000.0,1570000000.0,1537227810.0,1570000000.0,90.0,2187.8,181.38,17080309.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,0.04653567735263702,0.0475277723759369,False,False,10.662697100011028,0.8839930523813876,0.1327447655213272,0.1285140562248996,True,False,True,False,False,False,1,,False,0.2643319463707814,True,6,TT_not_all_pass,False,False,False,False,30.016181229773466,OK,total,False,False,0.04752777237593699,fwd,0.04653567735263702,0.04653567735263702,OK,tt_fail,info_tt_not_all_pass,False,False,,yf_high_yield,,False,,yfinance_verified,True,False
23040,973.0,978.12,973.52,952.65,1072.0,775.0,946.14,28.932038834951456,0.0373134328358208,0.0135416666666665,0.1380116959064328,0.0957207207207206,False,True,True,True,False,False,True,False,False,5.0,True,5,10,yf,True,1.0,1.0,0.3161397670549085,False,650000000.0,227000000.0,222101640.0,227000000.0,45.0,626.03,117.37,4935592.0,1.0,div_split_adjusted,サービス業,情報通信・サービスその他,ＣＳＳホールディングス,0.046248715313463515,0.0472687116410136,False,False,8.29002300417483,1.5542386147628708,0.1353509364169993,0.099601593625498,True,False,True,False,False,False,5,,False,0.3663562281722933,True,6,TT_not_all_pass,False,False,False,False,37.96601941747573,OK,total,True,False,0.04726871164101363,fwd,0.046248715313463515,0.046248715313463515,OK,tt_fail,info_tt_not_all_pass,False,False,,yf_high_yield,,False,,yfinance_verified,True,True
72390,2349.0,2156.12,2018.253333333333,1939.97,2349.0,1415.0,1868.535,61.19741100323625,0.1692384270781484,0.2183609958506223,0.3874778499704665,0.2864184008762322,True,True,True,True,True,True,True,False,False,5.0,True,5,10,yf,False,1.0,1.0,0.2261216350947158,False,13726000000.0,3592000000.0,3558516130.2,3592000000.0,103.8,2808.25,329.93,34282429.0,1.0,,輸送用機器,自動車・輸送機,タチエス,0.0441890166028097,0.0446048133069363,False,False,7.119692055890643,0.8364639900293778,0.1704470120966057,0.1269841269841269,True,False,True,False,False,False,5,,False,1.6456776947705445,True,7,TT_not_all_pass,False,False,False,False,57.09870550161813,OK,total,True,False,0.04460481330693631,fwd,0.0441890166028097,0.0441890166028097,OK,tt_fail,info_tt_not_all_pass,False,False,,,,False,,yfinance_verified,True,True
