code_4digit,code_jquants_5digit,name_pdf,account,shares,avg_cost_yen
1414,14140,ショーボンドＨＤ,特定,1200,1446.66
1605,16050,ＩＮＰＥＸ,特定,400,1835.75
1928,19280,積水ハウス,特定,300,3550.0
2768,27680,双日,特定,100,3338.0
3543,35430,コメダホールディングス,特定,100,3125.0
3946,39460,トーモク,特定,300,2224.0
4206,42060,アイカ工業,特定,100,3421.0
4733,47330,オービックビジネスＣ,特定,200,5925.0
5161,51610,西川ゴム工業,特定,100,2256.0
6209,62090,リケンＮＰＲ,特定,200,2159.0
6932,69320,遠藤照明,特定,400,2109.95
7453,74530,良品計画,特定,100,2003.0
7867,78670,タカラトミー,特定,200,4317.0
8098,80980,稲畑産業,特定,200,3920.0
8316,83160,三井住友フィナンシャルＧ,特定,100,2998.0
8591,85910,オリックス,特定,300,3489.33
8593,85930,三菱ＨＣキャピタル,特定,500,985.02
8707,87070,岩井コスモホールディング,特定,200,2099.0
8725,87250,ＭＳ＆ＡＤ,特定,300,2726.5
8766,87660,東京海上ＨＤ,特定,100,6295.0
9008,90080,京王電鉄,特定,100,3616.0
