code,Name,yield_basis,data_fill_reason
58170,ＪＭＡＣＳ,none,missing_dps; missing_total_div; missing_shares
34440,菊池製作所,none,missing_dps; missing_total_div; missing_shares
57070,東邦亜鉛,none,missing_dps; missing_total_div; missing_shares
67400,ジャパンディスプレイ,none,missing_dps; missing_total_div; missing_shares
78850,タカノ,none,missing_dps; missing_total_div; missing_shares
45030,アステラス製薬,none,missing_dps; missing_total_div; missing_shares
42220,児玉化学工業,none,missing_dps; missing_total_div; missing_shares
98540,愛眼,none,missing_dps; missing_total_div; missing_shares
63840,昭和真空,none,missing_dps; missing_total_div; missing_shares
68400,ＡＫＩＢＡホールディングス,none,missing_dps; missing_total_div; missing_shares
63560,日本ギア工業,none,missing_dps; missing_total_div; missing_shares
59400,不二サッシ,none,missing_total_div; missing_shares
51620,朝日ラバー,none,missing_dps; missing_total_div; missing_shares
43680,扶桑化学工業,none,missing_total_div; missing_shares
45560,カイノス,none,missing_total_div; missing_shares
68550,日本電子材料,none,missing_total_div; missing_shares
29620,テクニスコ,none,missing_dps; missing_total_div; missing_shares
45060,住友ファーマ,none,missing_dps; missing_total_div; missing_shares
99550,ヨンキュウ,none,missing_total_div; missing_shares
68900,フェローテック,none,missing_total_div; missing_shares
72560,河西工業,none,missing_dps; missing_total_div; missing_shares
41070,伊勢化学工業,none,missing_total_div; missing_shares
19420,関電工,none,missing_total_div; missing_shares
95320,大阪瓦斯,none,missing_dps; missing_total_div; missing_shares
71730,東京きらぼしフィナンシャルグループ,none,missing_total_div; missing_shares
59730,トーアミ,none,missing_dps; missing_total_div; missing_shares
66270,テラプローブ,none,missing_total_div; missing_shares
77950,ＫＹＯＲＩＴＳＵ,none,missing_total_div; missing_shares
50200,ＥＮＥＯＳホールディングス,none,missing_dps; missing_total_div; missing_shares
78870,南海プライウッド,none,missing_dps; missing_total_div; missing_shares
88300,住友不動産,none,missing_dps; missing_total_div; missing_shares
42740,細谷火工,none,missing_total_div; missing_shares
46590,エイジス,none,missing_dps; missing_total_div; missing_shares
63470,プラコー,none,missing_dps; missing_total_div; missing_shares
74500,サンデー,none,missing_dps; missing_total_div; missing_shares
69970,日本ケミコン,none,missing_total_div; missing_shares
83670,南都銀行,none,missing_total_div; missing_shares
66430,戸上電機製作所,none,missing_total_div; missing_shares
59740,中国工業,none,missing_total_div; missing_shares
65920,マブチモーター,none,missing_dps; missing_total_div; missing_shares
67410,日本信号,none,missing_total_div; missing_shares
65900,芝浦メカトロニクス,none,missing_total_div; missing_shares
18270,ナカノフドー建設,none,missing_total_div; missing_shares
95360,西部ガスホールディングス,none,missing_dps; missing_total_div; missing_shares
63870,サムコ,none,missing_total_div; missing_shares
95130,電源開発,none,missing_dps; missing_total_div; missing_shares
98450,パーカーコーポレーション,none,missing_dps; missing_total_div; missing_shares
70030,三井Ｅ＆Ｓ,none,missing_total_div; missing_shares
17230,日本電技,none,missing_dps; missing_total_div; missing_shares
19820,日比谷総合設備,none,missing_dps; missing_total_div; missing_shares
38450,アイフリークモバイル,none,missing_dps; missing_total_div; missing_shares
83450,岩手銀行,none,missing_total_div; missing_shares
38910,ニッポン高度紙工業,none,missing_total_div; missing_shares
69990,ＫＯＡ,none,missing_dps; missing_total_div; missing_shares
79460,光陽社,none,missing_total_div; missing_shares
64730,ジェイテクト,none,missing_dps; missing_total_div; missing_shares
34460,ジェイテックコーポレーション,none,missing_dps; missing_total_div; missing_shares
49720,綜研化学,none,missing_dps; missing_total_div; missing_shares
63700,栗田工業,none,missing_dps; missing_total_div; missing_shares
67710,池上通信機,none,missing_total_div; missing_shares
74770,ムラキ,none,missing_total_div; missing_shares
18030,清水建設,none,missing_total_div; missing_shares
66760,バッファロー,none,missing_total_div; missing_shares
54760,日本高周波鋼業,none,missing_dps; missing_total_div; missing_shares
80150,豊田通商,none,missing_total_div; missing_shares
40080,住友精化,none,missing_dps; missing_total_div; missing_shares
79370,ツツミ,none,missing_total_div; missing_shares
30210,パシフィックネット,none,missing_total_div; missing_shares
65070,シンフォニアテクノロジー,none,missing_total_div; missing_shares
71920,日本モーゲージサービス,none,missing_total_div; missing_shares
35460,アレンザホールディングス,none,missing_dps; missing_total_div; missing_shares
21080,日本甜菜製糖,none,missing_dps; missing_total_div; missing_shares
97190,ＳＣＳＫ,none,missing_dps; missing_total_div; missing_shares
78170,パラマウントベッドホールディングス,none,missing_total_div; missing_shares
96000,アイネット,none,missing_total_div; missing_shares
19520,新日本空調,none,missing_dps; missing_total_div; missing_shares
97760,札幌臨床検査センター,none,missing_dps; missing_total_div; missing_shares
85240,北洋銀行,none,missing_total_div; missing_shares
60130,タクマ,none,missing_total_div; missing_shares
59830,イワブチ,none,missing_total_div; missing_shares
79010,マツモト,none,missing_dps; missing_total_div; missing_shares
74550,パリミキホールディングス,none,missing_dps; missing_total_div; missing_shares
69600,フクダ電子,none,missing_total_div; missing_shares
96330,東京テアトル,none,missing_total_div; missing_shares
41870,大阪有機化学工業,none,missing_total_div; missing_shares
73570,ジオコード,none,missing_total_div; missing_shares
17580,太洋基礎工業,none,missing_dps; missing_total_div; missing_shares
50740,テスホールディングス,none,missing_total_div; missing_shares
43470,ブロードメディア,none,missing_dps; missing_total_div; missing_shares
46200,藤倉化成,none,missing_dps; missing_total_div; missing_shares
22640,森永乳業,none,missing_dps; missing_total_div; missing_shares
40630,信越化学工業,none,missing_dps; missing_total_div; missing_shares
83610,大垣共立銀行,none,missing_dps; missing_total_div; missing_shares
58160,オーナンバ,none,missing_total_div; missing_shares
77150,長野計器,none,missing_total_div; missing_shares
63150,ＴＯＷＡ,none,missing_total_div; missing_shares
74560,松田産業,none,missing_total_div; missing_shares
45280,小野薬品工業,none,missing_dps; missing_total_div; missing_shares
42310,タイガースポリマー,none,missing_total_div; missing_shares
69610,エンプラス,none,missing_total_div; missing_shares
26920,伊藤忠食品,none,missing_total_div; missing_shares
19390,四電工,none,missing_dps; missing_total_div; missing_shares
71860,横浜フィナンシャルグループ,none,missing_total_div; missing_shares
68620,ミナトホールディングス,none,missing_dps; missing_total_div; missing_shares
82850,三谷産業,none,missing_total_div; missing_shares
79660,リンテック,none,missing_dps; missing_total_div; missing_shares
91100,ＮＳユナイテッド海運,none,missing_total_div; missing_shares
29030,シノブフーズ,none,missing_dps; missing_total_div; missing_shares
78000,アミファ,none,missing_dps; missing_total_div; missing_shares
97610,東海リース,none,missing_total_div; missing_shares
47200,城南進学研究社,none,missing_dps; missing_total_div; missing_shares
40040,レゾナック・ホールディングス,none,missing_dps; missing_total_div; missing_shares
35120,日本フエルト,none,missing_dps; missing_total_div; missing_shares
44640,ソフト９９コーポレーション,none,missing_dps; missing_total_div; missing_shares
30770,ホリイフードサービス,none,missing_dps; missing_total_div; missing_shares
77600,ＩＭＶ,none,missing_total_div; missing_shares
39020,メディカル・データ・ビジョン,none,missing_dps; missing_total_div; missing_shares
83950,佐賀銀行,none,missing_total_div; missing_shares
93010,三菱倉庫,none,missing_dps; missing_total_div; missing_shares
78190,粧美堂,none,missing_total_div; missing_shares
83920,大分銀行,none,missing_total_div; missing_shares
87420,小林洋行,none,missing_total_div; missing_shares
83620,福井銀行,none,missing_total_div; missing_shares
26120,かどや製油,none,missing_total_div; missing_shares
85500,栃木銀行,none,missing_total_div; missing_shares
85220,名古屋銀行,none,missing_dps; missing_total_div; missing_shares
66480,かわでん,none,missing_total_div; missing_shares
90670,丸運,none,missing_dps; missing_total_div; missing_shares
73370,ひろぎんホールディングス,none,missing_total_div; missing_shares
18670,植木組,none,missing_total_div; missing_shares
93220,川西倉庫,none,missing_total_div; missing_shares
61010,ツガミ,none,missing_total_div; missing_shares
97630,丸建リース,none,missing_total_div; missing_shares
71840,富山第一銀行,none,missing_total_div; missing_shares
35130,イチカワ,none,missing_total_div; missing_shares
77430,シード,none,missing_dps; missing_total_div; missing_shares
34670,アグレ都市デザイン,none,missing_total_div; missing_shares
94760,中央経済社ホールディングス,none,missing_dps; missing_total_div; missing_shares
19440,きんでん,none,missing_total_div; missing_shares
66440,大崎電気工業,none,missing_total_div; missing_shares
87470,豊トラスティ証券,none,missing_dps; missing_total_div; missing_shares
83080,りそなホールディングス,none,missing_dps; missing_total_div; missing_shares
78780,光・彩,none,missing_total_div; missing_shares
57240,アサカ理研,none,missing_total_div; missing_shares
33920,デリカフーズホールディングス,none,missing_total_div; missing_shares
63660,千代田化工建設,none,missing_dps; missing_total_div; missing_shares
52370,ノザワ,none,missing_total_div; missing_shares
82670,イオン,none,missing_dps; missing_total_div; missing_shares
87140,池田泉州ホールディングス,none,missing_total_div; missing_shares
43100,ドリームインキュベータ,none,missing_total_div; missing_shares
77800,メニコン,none,missing_dps; missing_total_div; missing_shares
18010,大成建設,none,missing_total_div; missing_shares
34490,テクノフレックス,none,missing_dps; missing_total_div; missing_shares
40820,第一稀元素化学工業,none,missing_dps; missing_total_div; missing_shares
62350,オプトラン,none,missing_dps; missing_total_div; missing_shares
90310,西日本鉄道,none,missing_total_div; missing_shares
77180,スター精密,none,missing_dps; missing_total_div; missing_shares
50170,富士石油,none,missing_total_div; missing_shares
24370,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,none,missing_dps; missing_total_div; missing_shares
19090,日本ドライケミカル,none,missing_total_div; missing_shares
