code_jquants_5digit,name_pdf,account,shares,avg_cost_yen,code,Name,in_holdings,is_financial,core_pass,core_fin_pass,core_candidate,core_buyable_now,satellite_pass,satellite_buyable_now,drop_reason,core_drop_reasons,yield_used,dividend_yield_fwd_total,dividend_yield_fwd,yield_split_mismatch,non_cut_years_verified,coverage_years,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,value_pass,eps_fwd,data_quality_flags,needs_manual_dividend_check,manual_check_reason,rs_percentile,trend_score,tt_all_pass,composite_score
14140,ショーボンドＨＤ,特定,1200,1446.66,14140,ショーボンドホールディングス,True,False,False,False,False,False,False,False,A_non_cut_years; TT_not_all_pass,A_non_cut_years,total,0.1247668663087749,0.1242477876106194,False,0.0,18,1.0,1.0,0.5102874195068321,True,292.03,div_split_adjusted,True,high_yield_risk; yf_source_high_yield,60.53739074134023,5,False,39.26869537067012
16050,ＩＮＰＥＸ,特定,400,1835.75,16050,ＩＮＰＥＸ,True,False,False,False,False,False,False,False,E_div_yield; yield_below_2pct,E_div_yield,total,0.018693950864884,0.0182978723404255,False,5.0,19,1.0,1.0,0.2564895279801184,True,345.31,div_split_adjusted,False,,96.66558756879247,6,True,50.832793784396245
19280,積水ハウス,特定,300,3550.0,19280,積水ハウス,True,False,False,False,False,False,False,False,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; TT_not_all_pass; data_missing:fcf_payout,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail,total,0.0386917729953867,0.0386819484240687,False,0.0,27,1.0,0.0,,True,335.95,,False,,38.32955649077371,4,False,28.164778245386856
27680,双日,特定,100,3338.0,27680,双日,True,False,False,False,False,False,True,True,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,total,0.0245911351953674,0.0240693196405648,False,5.0,19,0.3333333333333333,0.3333333333333333,0.7573746549399756,True,513.73,div_split_adjusted,False,,91.25930721916478,6,True,60.12965360958239
35430,コメダホールディングス,特定,100,3125.0,35430,コメダホールディングス,True,False,False,False,False,False,False,False,A_non_cut_years; E_div_yield; TT_not_all_pass; yield_below_2pct,A_non_cut_years; E_div_yield,total,0.0182762338947922,0.0182802979011509,False,0.0,11,1.0,1.0,0.2287092092326419,True,127.66,,False,,28.26157332470055,2,False,17.130786662350275
39460,トーモク,特定,300,2224.0,39460,トーモク,True,False,False,False,False,False,False,False,E_div_yield; F_value_pass; TT_not_all_pass,E_div_yield; F_value_pass,dps_fallback,0.0296296296296296,0.0296296296296296,False,5.0,24,1.0,1.0,0.2387702818104184,False,,shares_missing; div_split_adjusted; yield_total_fallback_dps,True,yield_total_fallback_dps,50.890255746196175,5,False,36.94512787309809
42060,アイカ工業,特定,100,3421.0,42060,アイカ工業,True,False,False,False,False,False,False,False,F_value_pass; TT_not_all_pass,F_value_pass,dps_fallback,0.0318506315211422,0.0318506315211422,False,10.0,25,1.0,1.0,0.5106845809341011,False,,shares_missing; yield_total_fallback_dps,True,yield_total_fallback_dps,33.57073486565231,3,False,30.78536743282616
47330,オービックビジネスＣ,特定,200,5925.0,47330,オービックビジネスコンサルタント,True,False,False,False,False,False,False,False,E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct,E_div_yield; F_value_pass,dps_fallback,0.0155203398137559,0.0155203398137559,False,6.0,22,1.0,1.0,0.3468608198528469,False,,shares_missing; div_split_adjusted; yield_total_fallback_dps,True,yield_total_fallback_dps,2.330851408222726,1,False,13.165425704111364
51610,西川ゴム工業,特定,100,2256.0,51610,西川ゴム工業,True,False,False,False,False,False,True,True,E_div_yield; F_value_pass,E_div_yield; F_value_pass,total,0.0263851967722177,0.0527777777777777,True,5.0,23,1.0,1.0,0.2353907437066239,False,102.49,div_split_adjusted; yield_split_mismatch,True,yield_split_mismatch,87.14794431854969,6,True,58.073972159274845
62090,リケンＮＰＲ,特定,200,2159.0,62090,リケンＮＰＲ,True,False,False,False,True,False,False,False,A_non_cut_years; TT_not_all_pass,A_non_cut_years,total,0.0334194531976327,0.0334190231362467,False,1.0,2,1.0,1.0,0.3560625814863103,True,323.32,div_history_short,True,,80.83522175461314,6,False,61.91761087730657
69320,遠藤照明,特定,400,2109.95,69320,遠藤照明,True,False,False,False,False,False,False,False,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; TT_not_all_pass; yield_below_2pct,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,total,0.0188402246800184,0.0188608072425499,False,4.0,23,1.0,0.5,0.1833609271523179,True,324.85,,False,,78.40725153771447,6,False,50.20362576885724
74530,良品計画,特定,100,2003.0,74530,良品計画,True,False,False,False,False,False,False,False,A_non_cut_years; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct,A_non_cut_years; E_div_yield; F_value_pass,total,0.007442283532013,0.0142207053469852,True,0.0,26,1.0,1.0,0.3940006953883112,False,95.92,div_split_adjusted; yield_split_mismatch,True,yield_split_mismatch,74.29588863709938,6,False,37.14794431854969
78670,タカラトミー,特定,200,4317.0,78670,タカラトミー,True,False,False,False,False,False,False,False,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass,dps_fallback,0.0203340595497458,0.0203340595497458,False,2.0,24,1.0,1.0,0.6469662921348315,False,161.43,shares_missing; div_split_adjusted; yield_total_fallback_dps,True,yield_total_fallback_dps,13.0462932988022,1,False,16.5231466494011
80980,稲畑産業,特定,200,3920.0,80980,稲畑産業,True,False,False,False,False,False,False,False,A_non_cut_years; TT_not_all_pass,A_non_cut_years,total,0.0315901031892143,0.0314465408805031,False,2.0,25,1.0,1.0,0.3541066848139035,True,363.9,,False,,64.45451602460344,5,False,45.22725801230172
