code_4digit,code_jquants_5digit,name_pdf,account,shares,avg_cost_yen,code,Name,in_holdings,core_pass,core_candidate,core_momo_pass,satellite_pass,drop_reason,core_drop_reasons,satellite_drop_reasons,dividend_yield_fwd_total,dividend_yield_fwd,yield_split_mismatch,fcf_payout_3y,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,trend_score,rs_percentile,composite_score,value_pass,data_quality_flags
1414,14140,ショーボンドＨＤ,特定,1200,1446.66,14140,ショーボンドホールディングス,True,False,False,False,False,A_non_cut_years; TT_not_all_pass,A_non_cut_years,TT_not_all_pass,0.13250616440687568,0.1319548872180451,False,0.5102874195068321,0.0,5,18,yf,False,1.0,1.0,4,49.030381383322556,30.515190691661278,True,div_split_adjusted
1605,16050,ＩＮＰＥＸ,特定,400,1835.75,16050,ＩＮＰＥＸ,True,False,False,False,False,E_div_yield; TT_not_all_pass,E_div_yield,TT_not_all_pass,0.021566413614372806,0.02110947471772214,False,0.2564895279801184,5.0,5,19,yf,False,1.0,1.0,6,93.76212023270847,52.381060116354234,True,div_split_adjusted
1928,19280,積水ハウス,特定,300,3550.0,19280,積水ハウス,True,False,False,False,False,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; TT_not_all_pass; data_missing:fcf_payout,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail,TT_not_all_pass,0.039856637471635065,0.03984651711924439,False,,0.0,5,27,yf,False,1.0,0.0,3,40.59469941822883,29.297349709114414,True,
2768,27680,双日,特定,100,3338.0,27680,双日,True,False,False,False,False,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; TT_not_all_pass,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,TT_not_all_pass,0.025913418082098447,0.02536354413256679,False,0.7573746549399756,0.0,5,20,yf,False,0.3333333333333333,0.3333333333333333,6,87.84744667097608,52.92372333548804,True,div_split_adjusted
3543,35430,コメダホールディングス,特定,100,3125.0,35430,コメダホールディングス,True,False,False,False,False,A_non_cut_years; E_div_yield; TT_not_all_pass; yield_below_2pct,A_non_cut_years; E_div_yield,TT_not_all_pass; yield_below_2pct,0.017817820107332148,0.01782178217821782,False,0.22870920923264199,0.0,5,11,yf,False,1.0,1.0,3,47.963800904977376,35.98190045248869,True,
3946,39460,トーモク,特定,300,2224.0,39460,トーモク,True,False,False,False,False,A_non_cut_years; E_div_yield; F_value_pass; TT_not_all_pass; data_missing:yield_total,A_non_cut_years; E_div_yield; F_value_pass,TT_not_all_pass,,0.02861230329041488,False,0.23877028181041846,0.0,5,25,yf,False,1.0,1.0,5,60.95669036845508,39.478345184227535,False,shares_missing; div_split_adjusted
4206,42060,アイカ工業,特定,100,3421.0,42060,アイカ工業,True,False,False,False,False,A_non_cut_years; F_value_pass; TT_not_all_pass; data_missing:yield_total,A_non_cut_years; F_value_pass,TT_not_all_pass,,0.03320927569424564,False,0.5106845809341011,0.0,5,26,yf,False,1.0,1.0,2,30.89851325145443,24.449256625727216,False,shares_missing
4733,47330,オービックビジネスＣ,特定,200,5925.0,47330,オービックビジネスコンサルタント,True,False,False,False,False,A_non_cut_years; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct; data_missing:yield_total,A_non_cut_years; E_div_yield; F_value_pass,TT_not_all_pass; yield_below_2pct,,0.015151515151515152,False,0.34686081985284695,0.0,5,23,yf,False,1.0,1.0,1,3.9107950872656754,10.955397543632838,False,shares_missing; div_split_adjusted
5161,51610,西川ゴム工業,特定,100,2256.0,51610,西川ゴム工業,True,False,False,False,False,A_non_cut_years; TT_not_all_pass,A_non_cut_years,TT_not_all_pass,0.03275403737240826,0.06551724137931035,True,0.23539074370662397,0.0,5,24,yf,False,1.0,1.0,4,48.19004524886878,36.09502262443439,True,div_split_adjusted; yield_split_mismatch
6209,62090,リケンＮＰＲ,特定,200,2159.0,62090,リケンＮＰＲ,True,False,True,False,False,A_non_cut_years; TT_not_all_pass,A_non_cut_years,TT_not_all_pass,0.03407645424345779,0.03407601572739188,False,0.3560625814863103,0.0,5,3,yf,True,1.0,1.0,6,81.73884938590821,61.869424692954105,True,div_history_short
6932,69320,遠藤照明,特定,400,2109.95,69320,遠藤照明,True,False,False,False,False,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; TT_not_all_pass; yield_below_2pct,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,TT_not_all_pass; yield_below_2pct,0.019063143368980507,0.019083969465648856,False,0.1833609271523179,0.0,5,24,yf,False,1.0,0.5,6,76.30898513251454,47.15449256625727,True,
7453,74530,良品計画,特定,100,2003.0,74530,良品計画,True,False,False,False,False,A_non_cut_years; E_div_yield; F_value_pass; TT_not_all_pass; yield_below_2pct,A_non_cut_years; E_div_yield; F_value_pass,TT_not_all_pass; yield_below_2pct,0.007068360048232807,0.01350621285791464,True,0.3940006953883112,0.0,5,26,yf,False,1.0,1.0,6,78.86231415643181,48.431157078215904,False,div_split_adjusted; yield_split_mismatch
7867,78670,タカラトミー,特定,200,4317.0,78670,タカラトミー,True,False,False,False,False,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; data_missing:yield_total,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass,TT_not_all_pass,,0.021455938697318006,False,0.6469662921348315,0.0,5,25,yf,False,1.0,1.0,1,9.437621202327085,13.718810601163543,False,shares_missing; div_split_adjusted
8098,80980,稲畑産業,特定,200,3920.0,80980,稲畑産業,True,False,False,False,False,A_non_cut_years; TT_not_all_pass,A_non_cut_years,TT_not_all_pass,0.03236357221059972,0.03221649484536082,False,0.35410668481390356,0.0,5,26,yf,False,1.0,1.0,5,62.02327084680026,43.01163542340013,True,
8316,83160,三井住友フィナンシャルＧ,特定,100,2998.0,83160,三井住友フィナンシャルグループ,True,False,False,False,False,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield; TT_not_all_pass; yield_unknown,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield,TT_not_all_pass; yield_unknown,0.02293520974026592,,False,1.6510118042780249,0.0,5,24,yf,False,1.0,0.6666666666666666,6,81.80349062702004,55.90174531351002,True,div_split_adjusted
8591,85910,オリックス,特定,300,3489.33,85910,オリックス,True,False,False,False,False,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield; TT_not_all_pass; data_missing:fcf_payout,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield,TT_not_all_pass,0.024824196258223068,0.024764754436648783,False,,2.0,5,25,yf,False,1.0,0.0,6,82.22365869424692,63.11182934712346,True,div_split_adjusted
8593,85930,三菱ＨＣキャピタル,特定,500,985.02,85930,三菱ＨＣキャピタル,True,False,False,False,False,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield; TT_not_all_pass,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield,TT_not_all_pass,0.028334140893882986,0.028288543140028287,False,1.1749108355978262,0.0,5,26,yf,False,0.0,0.5,6,74.98383968972205,46.49191984486102,True,div_split_adjusted
8707,87070,岩井コスモホールディング,特定,200,2099.0,87070,岩井コスモホールディングス,True,False,False,False,False,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; yield_unknown; data_missing:yield_total; data_missing:cfo_pos_ratio; data_missing:fcf_pos_ratio; data_missing:fcf_payout,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,yield_unknown,,,False,,0.0,5,21,yf,False,,,6,84.48610213316095,42.24305106658048,False,shares_missing
8725,87250,ＭＳ＆ＡＤ,特定,300,2726.5,87250,ＭＳ＆ＡＤインシュアランスグループホールディングス,True,False,False,False,False,A_non_cut_years; fin_sector_excluded_from_core; fin:A_non_cut_years; TT_not_all_pass,A_non_cut_years; fin_sector_excluded_from_core; fin:A_non_cut_years,TT_not_all_pass,0.03711453675372251,0.03674607197161683,False,0.9748064709278703,0.0,5,19,yf,False,1.0,1.0,6,71.33160956690368,41.66580478345184,True,div_split_adjusted
8766,87660,東京海上ＨＤ,特定,100,6295.0,87660,東京海上ホールディングス,True,False,False,False,False,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield; TT_not_all_pass,A_non_cut_years; fin_sector_excluded_from_core; E_div_yield; fin:A_non_cut_years; fin:E_div_yield,TT_not_all_pass,0.0241503893811039,0.023968784838350056,False,0.29489309048929063,0.0,5,24,yf,False,1.0,1.0,6,79.41176470588235,42.705882352941174,True,div_split_adjusted
9008,90080,京王電鉄,特定,100,3616.0,90080,京王電鉄,True,False,False,False,False,A_non_cut_years; D_fcf_payout; D_fcf_hard_fail; TT_not_all_pass; data_missing:yield_total,A_non_cut_years; D_fcf_payout; D_fcf_hard_fail,TT_not_all_pass,,0.13253810470510272,False,1.5120229202905966,0.0,5,27,yf,False,1.0,0.6666666666666666,3,35.48804137039431,26.744020685197157,True,shares_missing; div_split_adjusted
