code,Name,yield_basis,effective_yield,non_cut_years_verified,coverage_years,fcf_payout_3y,drop_reason_core,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,in_holdings
69200,レーザーテック,dps_fallback,0.0087616511318242,True,10,0.4792300380228136,E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
65420,ＦＣホールディングス,dps_fallback,1.0644783590508782e-08,True,10,0.3759398496240601,E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
35260,芦森工業,dps_fallback,1.1042527689359033e-08,True,10,0.2163426925845932,E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
63120,フロイント産業,dps_fallback,1.781076078633352e-08,True,10,0.259931506849315,E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
77210,東京計器,dps_fallback,0.0040840140023337,True,10,,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:fcf_payout,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
68000,ヨコオ,dps_fallback,0.0156097560975609,True,10,0.7016487000634115,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
94120,スカパーＪＳＡＴホールディングス,dps_fallback,0.0087237479806138,True,10,0.3129671236645421,E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
58210,平河ヒューテック,dps_fallback,0.0107655502392344,True,10,0.2527790128946198,E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
63760,日機装,dps_fallback,0.0128205128205128,True,10,0.7583665338645418,B_cfo_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
31030,ユニチカ,dps_fallback,0.0,False,4,0.0,data_missing:div_history; E_div_yield,div_split_adjusted; div_history_short,yield_total_fallback_dps,yf,False,False,False,False,False
58030,フジクラ,dps_fallback,0.0037707390648567,True,10,0.2550878237570705,A_non_cut_years; E_div_yield; F_value_pass,,yield_total_fallback_dps,yf,False,False,False,False,False
