code,Name,yield_basis,effective_yield,manual_dividend_check_reason
40220,ラサ工業,dps_fallback,0.06741573033707865,high_yield_risk; yf_high_yield
83860,百十四銀行,dps_fallback,0.05930470347648262,yf_high_yield
70120,川崎重工業,dps_fallback,0.048859934853420196,yf_high_yield
76090,ダイトロン,dps_fallback,0.05395057431256526,yf_high_yield
83410,七十七銀行,dps_fallback,0.05336992985666362,yf_high_yield
64540,マックス,fwd,0.016911988309413407,yield_split_mismatch
80600,キヤノンマーケティングジャパン,fwd,0.019700549215518323,yield_split_mismatch
41070,伊勢化学工業,fwd,0.06206896551724138,high_yield_risk; yf_high_yield
83450,岩手銀行,fwd,0.059113300492610835,yf_high_yield
65900,芝浦メカトロニクス,fwd,0.055268389662027836,yf_high_yield
80120,長瀬産業,dps_fallback,0.07550335570469799,high_yield_risk; yf_high_yield
83670,南都銀行,fwd,0.1057014734144779,high_yield_risk; yf_high_yield
79270,ムトー精工,dps_fallback,0.04657466732380483,yf_high_yield
80460,丸藤シートパイル,dps_fallback,0.13013013013013014,high_yield_risk; yf_high_yield
21200,ＬＩＦＵＬＬ,dps_fallback,0.05257575757575758,yf_high_yield
72390,タチエス,dps_fallback,0.04907801418439716,yf_high_yield
83930,宮崎銀行,dps_fallback,0.051960321209258385,yf_high_yield
74660,ＳＰＫ,dps_fallback,0.045283018867924525,yf_high_yield
26120,かどや製油,fwd,0.061690314620604564,high_yield_risk; yf_high_yield
73220,三十三フィナンシャルグループ,dps_fallback,0.05952380952380952,yf_high_yield
71810,かんぽ生命保険,dps_fallback,0.06497969384567323,high_yield_risk; yf_high_yield
78750,竹田ｉＰホールディングス,fwd,0.05240793201133145,yf_high_yield
81420,トーホー,dps_fallback,0.09110787172011661,high_yield_risk; yf_high_yield
99340,因幡電機産業,dps_fallback,0.05141388174807198,yf_high_yield
93220,川西倉庫,fwd,0.054189245518966235,yf_high_yield
63900,加藤製作所,dps_fallback,0.04926108374384237,yf_high_yield
73890,あいちフィナンシャルグループ,fwd,0.06707317073170732,high_yield_risk; yf_high_yield
83920,大分銀行,fwd,0.05083179297597042,yf_high_yield
79460,光陽社,fwd,0.07194244604316546,high_yield_risk; yf_high_yield
73800,十六フィナンシャルグループ,fwd,0.08979206049149338,high_yield_risk; yf_high_yield
87500,第一生命ホールディングス,dps_fallback,0.09386776293251113,high_yield_risk; yf_high_yield
83360,武蔵野銀行,fwd,0.0503989920201596,yf_high_yield
19680,太平電業,dps_fallback,0.06055363321799308,high_yield_risk; yf_high_yield
80780,阪和興業,dps_fallback,0.13595166163141995,high_yield_risk; yf_high_yield
80610,西華産業,dps_fallback,0.07809726659566915,high_yield_risk; yf_high_yield
66750,サクサ,fwd,0.1069995541685243,high_yield_risk; yf_high_yield
39640,オークネット,dps_fallback,0.062244062244062245,high_yield_risk; yf_high_yield
98270,リリカラ,dps_fallback,0.05521472392638037,yf_high_yield
51610,西川ゴム工業,fwd,0.06295180722891566,high_yield_risk; yf_high_yield
66480,かわでん,fwd,0.14299802761341224,high_yield_risk; yf_high_yield
63600,東京自働機械製作所,dps_fallback,0.06091370558375635,high_yield_risk; yf_high_yield
79170,ＺＡＣＲＯＳ,dps_fallback,0.0912280701754386,high_yield_risk; yf_high_yield
36080,ＴＳＩホールディングス,dps_fallback,0.045327754532775454,yf_high_yield
18470,イチケン,fwd,0.06793977230995225,high_yield_risk; yf_high_yield
80010,伊藤忠商事,dps_fallback,0.10152284263959391,high_yield_risk; yf_high_yield
42310,タイガースポリマー,fwd,0.05150631681243926,yf_high_yield
63690,トーヨーカネツ,dps_fallback,0.08205841446453407,high_yield_risk; yf_high_yield
35480,バロックジャパンリミテッド,dps_fallback,0.04993429697766097,yf_high_yield
19800,ダイダン,fwd,0.045337265020272764,yf_high_yield
29930,長栄,fwd,0.05091649694501019,yf_high_yield
13840,ホクリヨウ,fwd,0.16385195831836147,high_yield_risk; yf_high_yield
97630,丸建リース,fwd,0.10309278350515463,high_yield_risk; yf_high_yield
72960,エフ・シー・シー,dps_fallback,0.05796269727403156,yf_high_yield
68500,チノー,dps_fallback,0.050093926111458985,yf_high_yield
17980,守谷商会,fwd,0.11942675159235669,high_yield_risk; yf_high_yield
36120,ワールド,dps_fallback,0.05105296745373325,yf_high_yield
95330,東邦瓦斯,dps_fallback,0.061115355233002294,high_yield_risk; yf_high_yield
74330,伯東,dps_fallback,0.06139315230224321,high_yield_risk; yf_high_yield
75050,扶桑電通,fwd,0.06837606837606838,high_yield_risk; yf_high_yield
45770,ダイト,dps_fallback,0.051698670605613,yf_high_yield
34430,川田テクノロジーズ,dps_fallback,0.08740204942736589,high_yield_risk; yf_high_yield
55420,新報国マテリアル,dps_fallback,0.06082725060827251,high_yield_risk; yf_high_yield
43100,ドリームインキュベータ,fwd,0.16465550797975867,high_yield_risk; yf_high_yield
13330,マルハニチロ,dps_fallback,0.07784854918612881,high_yield_risk; yf_high_yield
62100,ＴＯＹＯイノベックス,dps_fallback,0.05343511450381679,yf_high_yield
91010,日本郵船,dps_fallback,0.053313648293963255,yf_high_yield
93080,乾汽船,dps_fallback,0.04770872567482737,yf_high_yield
86140,東洋証券,fwd,0.0715307582260372,high_yield_risk; yf_high_yield
63310,三菱化工機,dps_fallback,0.06930693069306931,high_yield_risk; yf_high_yield
89990,グランディハウス,dps_fallback,0.05755395683453238,yf_high_yield
41830,三井化学,dps_fallback,0.0749063670411985,high_yield_risk; yf_high_yield
18140,大末建設,fwd,0.05178571428571429,yf_high_yield
52100,日本山村硝子,dps_fallback,0.049306062819576335,yf_high_yield
88970,ＭＩＲＡＲＴＨホールディングス,dps_fallback,0.07075471698113207,high_yield_risk; yf_high_yield
41140,日本触媒,dps_fallback,0.05172413793103448,yf_high_yield
78790,ノダ,dps_fallback,0.04874446085672083,yf_high_yield
61370,小池酸素工業,fwd,0.12235817575083426,high_yield_risk; yf_high_yield
23040,ＣＳＳホールディングス,dps_fallback,0.04726890756302521,yf_high_yield
57290,日本精鉱,fwd,0.13709677419354838,high_yield_risk; yf_high_yield
51920,三ツ星ベルト,dps_fallback,0.04655819774718398,yf_high_yield
74200,佐鳥電機,fwd,0.04559915164369035,yf_high_yield
49280,ノエビアホールディングス,dps_fallback,0.05133928571428571,yf_high_yield
30020,グンゼ,fwd,0.09974424552429667,high_yield_risk; yf_high_yield
55410,大平洋金属,fwd,0.052285050348567,yf_high_yield
69150,千代田インテグレ,dps_fallback,0.049689440993788817,yf_high_yield
70810,コーユーレンティア,dps_fallback,0.046224961479198766,yf_high_yield
97610,東海リース,fwd,0.050955414012738856,yf_high_yield
80750,神鋼商事,dps_fallback,0.12510425354462051,high_yield_risk; yf_high_yield
84730,ＳＢＩホールディングス,dps_fallback,0.05337519623233909,yf_high_yield
26760,高千穂交易,dps_fallback,0.07785888077858881,high_yield_risk; yf_high_yield
39530,大村紙業,fwd,0.06273525721455459,high_yield_risk; yf_high_yield
