code,Name,net_shares_source,shares_check_reason,data_quality_flags,effective_yield
34440,菊池製作所,missing,shares_missing,shares_missing; div_split_adjusted,
68400,ＡＫＩＢＡホールディングス,missing,shares_missing,shares_missing; div_history_short,
58170,ＪＭＡＣＳ,missing,shares_missing,shares_missing,
40220,ラサ工業,yfinance_corrected,shares_estimate_mismatch,div_split_adjusted; shares_estimate_mismatch,0.011262447988806972
67400,ジャパンディスプレイ,missing,shares_missing,shares_missing; div_history_short,
58030,フジクラ,yfinance_corrected,shares_estimate_mismatch,div_split_adjusted; shares_estimate_mismatch,0.0028692922450379316
73840,プロクレアホールディングス,missing,shares_missing,shares_missing; div_history_short,
70120,川崎重工業,yfinance_corrected,shares_estimate_mismatch,div_split_adjusted; shares_estimate_mismatch,0.009518924746484421
69990,ＫＯＡ,missing,shares_missing,shares_missing,
63840,昭和真空,missing,shares_missing,shares_missing,
83410,七十七銀行,yfinance_corrected,shares_estimate_mismatch,div_split_adjusted; shares_estimate_mismatch,0.019373206699634604
98540,愛眼,missing,shares_missing,shares_missing,
80600,キヤノンマーケティングジャパン,yfinance_corrected,shares_estimate_mismatch,div_split_adjusted; shares_estimate_mismatch,0.023906333088958783
80460,丸藤シートパイル,yfinance_corrected,shares_estimate_mismatch,div_split_adjusted; shares_estimate_mismatch,0.027951997957565436
57070,東邦亜鉛,missing,shares_missing,shares_missing; div_split_adjusted,
42880,アズジェント,missing,shares_missing,shares_missing; div_split_adjusted,
62270,ＡＩメカテック,yfinance_corrected,shares_estimate_mismatch,div_history_short; div_split_adjusted; shares_estimate_mismatch,0.002424010542614401
42400,クラスターテクノロジー,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
64730,ジェイテクト,missing,shares_missing,shares_missing,
72560,河西工業,missing,shares_missing,shares_missing,
29620,テクニスコ,missing,shares_missing,shares_missing; div_history_short,
51620,朝日ラバー,missing,shares_missing,shares_missing,
28020,味の素,missing,shares_missing,shares_missing; div_split_adjusted,
63700,栗田工業,missing,shares_missing,shares_missing,
76250,グローバルダイニング,missing,shares_missing,shares_missing,
74550,パリミキホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
38450,アイフリークモバイル,missing,shares_missing,shares_missing; div_split_adjusted; div_history_short,
35460,アレンザホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
37960,いい生活,missing,shares_missing,shares_missing; div_split_adjusted,
68620,ミナトホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
63560,日本ギア工業,missing,shares_missing,shares_missing,
30770,ホリイフードサービス,missing,shares_missing,shares_missing; div_split_adjusted,
98450,パーカーコーポレーション,missing,shares_missing,shares_missing; div_split_adjusted,
62350,オプトラン,missing,shares_missing,shares_missing,
45280,小野薬品工業,missing,shares_missing,shares_missing; div_split_adjusted,
67690,ザインエレクトロニクス,missing,shares_missing,shares_missing; div_split_adjusted,
65920,マブチモーター,missing,shares_missing,shares_missing; div_split_adjusted,
49720,綜研化学,missing,shares_missing,shares_missing; div_split_adjusted,
62580,平田機工,missing,shares_missing,shares_missing; div_split_adjusted,
