code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason
40220,2059.0,1770.3443774414063,1358.1450113932292,1234.158758544922,2080.2080078125,508.0,1136.448758544922,97.67291531997414,0.4122085048010975,1.0265748031496065,1.5109756097560973,2.9996114996115,True,True,True,True,True,True,True,True,True,0.0,0.0,5,10,yf,False,1.0,1.0,0.26359300476947534,False,3209000000.0,940000000.0,,940000000.0,120.0,3570.64,398.74,7807390.0,3.0,1.0,div_split_adjusted,化学,素材・化学,ラサ工業,0.05828071879553181,0.058474380968757275,False,False,5.163765862466771,0.5766473237290795,0.19962158354121498,0.06666666666666667,True,False,False,False,False,False,6,A_non_cut_years,True,1.1212562732718145,True,7,,True,False,False,False,77.83645765998708,A_non_cut_years
27370,14620.0,12273.5612890625,11002.40677734375,9776.405083007812,14710.0,4985.0,9135.105083007813,96.12152553329024,-0.00611828687967364,1.0362116991643453,1.3811074918566777,1.8499025341130606,True,True,True,True,True,True,True,True,True,2.0,2.0,5,20,yf,False,1.0,1.0,0.24099801531046214,False,9189000000.0,2040000000.0,,2040000000.0,300.0,7296.29,821.69,6800918.0,3.0,1.0,,卸売業,商社・卸売,トーメンデバイス,0.02051983584131327,0.02051706603739822,False,False,17.792598181796052,2.003758074308998,0.09241731363610405,0.75,True,False,False,False,False,False,6,A_non_cut_years; E_div_yield,True,0.5443557615287791,True,7,,True,True,False,False,75.06076276664513,A_non_cut_years; E_div_yield
96780,4600.0,4325.6,3921.6,3797.9,4600.0,3080.0,3669.275,81.41564318034906,0.1719745222929936,0.2795549374130737,0.33915574963609907,0.47909967845659174,True,True,True,True,True,True,True,True,True,10.0,10.0,5,21,yf,False,1.0,1.0,0.07518585197976754,False,42684000000.0,3308000000.0,,3308000000.0,95.0,4227.68,314.15,34825177.0,10.0,1.0,,サービス業,情報通信・サービスその他,カナモト,0.020652173913043477,0.020649728062620002,False,False,14.64268661467452,1.0880672141694734,0.2664489094996591,0.476,True,False,False,False,False,False,6,E_div_yield,True,2.4232319930260435,True,7,,True,True,False,False,71.70782159017453,E_div_yield
98800,2749.0,2607.1010009765623,2159.685568033854,1989.8591760253905,2895.0,1142.0,1864.1241760253906,94.14996767937944,0.21154693697664162,0.7159800249687891,0.8997926744989633,1.361683848797251,True,True,True,True,True,True,True,True,True,10.0,10.0,5,19,yf,False,1.0,1.0,0.7578692493946732,False,1301000000.0,934000000.0,,934000000.0,70.0,1930.81,89.54,13167086.0,3.0,1.0,,電気機器,電機・精密,イノテック,0.025463805020007276,0.025803728531546437,False,False,30.701362519544336,1.4237547972094613,0.03594288096310697,0.6892655367231638,True,False,False,False,False,False,6,D_fcf_payout; E_div_yield,True,0.2834114888628371,True,6,,False,False,False,False,70.07498383968972,D_fcf_payout; E_div_yield
79950,5740.0,4977.916845703125,4318.644869791667,4105.03365234375,5740.0,2834.0,3883.54365234375,93.11570782159018,0.2727272727272727,0.5900277008310248,0.8309409888357258,1.0126227208976157,True,True,True,True,True,True,True,True,True,0.0,0.0,5,23,yf,False,1.0,0.0,,True,-17000000.0,2641000000.0,,2641000000.0,150.0,2869.23,265.8,17595940.0,3.0,0.75,div_split_adjusted,化学,素材・化学,バルカー,0.02613240418118467,0.026148334764537998,False,False,21.595184349134687,2.0005367293664156,-0.00016831567247146763,0.7151515151515152,False,False,False,False,False,False,6,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,True,0.2756799577501981,True,6,,True,True,False,False,69.55785391079509,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:fcf_payout
83860,2275.0,2250.5121435546876,1797.5624648437501,1650.2328486328124,2542.72021484375,742.8,1521.5218486328126,95.21654815772462,0.10975609756097571,0.8383838383838385,0.9506130498156564,2.0353569046030686,True,True,True,True,True,True,True,True,True,0.0,0.0,5,26,yf,False,0.0,0.0,,True,-224810000000.0,4137000000.0,,4137000000.0,145.0,11550.34,481.23,28420376.0,3.0,0.75,div_split_adjusted,銀行業,銀行,百十四銀行,0.06373626373626373,0.06398442928628173,False,True,4.727469193524925,0.19696389889821425,-3.476997715216098,0.078125,True,True,False,False,False,False,6,A_non_cut_years; fin_sector_excluded_from_core; fin:A_non_cut_years,True,0.3466033132143314,True,6,,False,False,False,False,68.60827407886231,A_non_cut_years; fin_sector_excluded_from_core; fin:A_non_cut_years; data_missing:fcf_payout
67980,3400.0,3140.3146240234373,2726.880603841146,2608.7604528808592,3501.254150390625,2112.0,2511.9754528808594,88.04137039431157,0.1980267794221282,0.4984574702512119,0.5144766146993318,0.5639374425022998,True,True,True,True,True,True,True,True,True,0.0,0.0,5,26,yf,False,1.0,1.0,0.956436420722135,False,223000000.0,894000000.0,,894000000.0,140.0,4617.79,-291.65,6336046.0,3.0,1.0,div_split_adjusted,電気機器,電機・精密,ＳＭＫ,0.041176470588235294,0.04149925307843223,False,False,,0.7362829405408214,0.010351603396521688,,True,False,False,False,False,False,6,A_non_cut_years; D_fcf_payout,True,1.392144994787989,True,7,,False,False,False,False,68.02068519715579,A_non_cut_years; D_fcf_payout
76090,2891.0,2847.3,2523.346666666667,2380.5975,3015.0,1520.0,2286.69,86.39301874595992,0.11106840891621839,0.3291954022988506,0.5543010752688171,0.9292625959292626,True,True,True,True,True,True,True,True,True,0.0,0.0,5,23,yf,False,1.0,0.5,0.3160455486542443,True,9660000000.0,1721000000.0,,1721000000.0,155.0,2969.68,394.6,11106132.0,12.0,1.0,div_split_adjusted,卸売業,商社・卸売,ダイトロン,0.05361466620546524,0.05360063660478831,False,False,7.326406487582362,0.9735055628889309,0.30086121417911393,0.1650943396226415,True,False,False,False,False,False,6,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail,True,0.4149885731533784,True,6,,False,False,True,False,67.19650937297996,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail
67060,3325.0,3125.7925341796877,2620.1948046875,2498.786103515625,3368.51611328125,1802.0,2388.466103515625,92.14608920491273,0.21129326047358843,0.7885960193652501,0.5501165501165501,0.7857142857142858,True,True,True,True,True,True,True,True,True,0.0,0.0,5,26,yf,False,0.0,0.6,0.6687037632679318,True,-1428000000.0,743000000.0,,743000000.0,80.0,3968.68,83.36,9189776.0,3.0,1.0,div_split_adjusted,電気機器,電機・精密,電気興業,0.02406015037593985,0.024316005810864308,False,False,39.88723608445297,0.8378100527127408,-0.04673385773608914,0.7740112994350282,True,False,False,False,False,False,6,A_non_cut_years; B_cfo_pos_ratio; D_fcf_hard_fail; E_div_yield,True,1.1483567208271788,True,7,,False,False,False,False,67.07304460245636,A_non_cut_years; B_cfo_pos_ratio; D_fcf_hard_fail; E_div_yield
69520,1640.5,1550.58,1370.9166666666667,1325.0325,1776.0,1032.5,1269.4375,85.94053005817712,0.24658054711246202,0.35354785478547845,0.42034632034632025,0.48596014492753614,True,True,True,True,True,True,True,True,True,5.0,5.0,5,26,yf,False,1.0,1.0,0.4048047578057751,False,20818000000.0,10262000000.0,,10262000000.0,45.0,959.79,35.22,228046377.0,3.0,1.0,,電気機器,電機・精密,カシオ計算機,0.027430661383724474,0.027430428925407237,False,False,46.5786484951732,1.7092280603048584,0.0556467227995642,0.8305084745762712,True,False,False,False,False,False,6,E_div_yield,True,2.63582571274879,True,7,,False,False,False,False,66.47026502908855,E_div_yield
