code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason
69200,37550.0,33267.36,26007.720091145835,23640.340068359375,39220.0,10490.0,21699.465068359375,97.41100323624595,0.18230478589420662,1.5041680560186728,1.6927214055216924,1.8286252354048966,True,True,True,True,True,True,True,True,True,7.0,7.0,5,16,yf,False,1.0,1.0,0.47923003802281366,False,75454000000.0,29672000000.0,,29672000000.0,329.0,2327.06,938.61,90190358.0,6.0,1.0,div_split_adjusted,電気機器,電機・精密,レーザーテック,0.008761651131824234,0.008761465762098599,False,False,40.005966269270516,16.136240578240354,0.022279847587401848,0.8125,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,1.1353125315560941,True,7,yield_below_2pct,True,False,False,False,78.20550161812298,E_div_yield; F_value_pass; yield_below_2pct
65420,4227422720.0,84549835.24,28184142.54,21138364.595,4227422720.0,910.0,1211.56,99.80582524271846,2983360.1291460833,3731175.27537511,4287445.977687627,,True,True,True,True,True,True,True,True,True,10.0,10.0,5,23,yf,False,1.0,1.0,0.37593984962406013,False,577000000.0,302000000.0,,302000000.0,45.0,1261.56,115.51,6510230.0,6.0,1.0,div_split_adjusted,サービス業,情報通信・サービスその他,ＦＣホールディングス,1.0644783590508782e-08,1.0973241410769929e-08,False,False,36597893.86200329,3350948.6033165287,2.0965431437133274e-08,0.996,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,0.5256487628243814,True,7,yield_below_2pct,False,False,False,False,75.90291262135923,E_div_yield; F_value_pass; yield_below_2pct
35260,9055897600.0,181121985.9,60376595.21333333,45283130.55,9055897600.0,2428.0,3515.48,99.77346278317152,2198032.3980582524,2192710.283292978,3410883.218455744,2959442.6601307187,True,True,True,True,True,True,True,True,True,10.0,10.0,5,15,yf,False,1.0,1.0,0.21634269258459324,False,3108000000.0,602000000.0,,602000000.0,100.0,4138.66,458.52,6020955.0,3.0,1.0,div_split_adjusted,輸送用機器,自動車・輸送機,芦森工業,1.1042527689359031e-08,1.1040776204097419e-08,False,False,19750278.286661435,2188123.1123117143,5.700121668161923e-08,1.0,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,1.9163938004802443,True,7,yield_below_2pct,False,False,False,False,75.88673139158576,E_div_yield; F_value_pass; yield_below_2pct
63120,1403645824.0,616745403.7,205582475.58666667,154187038.295,1403645824.0,655.0,14011331.625,99.70873786407766,1297268.707948244,1263406.5823582357,1963140.0125874125,,True,True,True,True,True,True,True,True,True,9.0,9.0,5,24,yf,False,1.0,1.0,0.25993150684931504,False,1291000000.0,422000000.0,,422000000.0,25.0,912.56,37.71,16916257.0,2.0,1.0,div_split_adjusted,機械,機械,フロイント産業,1.781076078633352e-08,1.777258657593756e-08,False,False,37222111.48236542,1538140.8608749015,5.437063807946775e-08,0.9937888198757764,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,8.57,True,7,yield_below_2pct,False,False,False,False,75.35436893203882,E_div_yield; F_value_pass; yield_below_2pct
77210,8570.0,7406.4,5874.6,5417.325,9210.0,2529.0,4917.075,96.50485436893203,0.3867313915857604,1.1056511056511056,1.0046783625730993,1.768982229402262,True,True,True,True,True,True,True,True,True,10.0,10.0,5,21,yf,False,0.0,0.0,,True,-4480000000.0,575000000.0,,575000000.0,35.0,2460.11,231.15,16429259.0,3.0,0.75,div_split_adjusted,精密機器,電機・精密,東京計器,0.004084014002333722,0.004083843084622711,False,False,37.07549210469392,3.4835840673791005,-0.03181846438106043,0.7352941176470589,False,False,False,False,False,False,6,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,12.299479166666668,True,7,yield_below_2pct,False,False,False,False,74.25242718446601,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; yield_below_2pct; data_missing:fcf_payout
58170,1590.0,1305.7483374023439,794.7362552897135,710.6821914672852,2151.0,376.0,599.2789529418945,99.06148867313915,1.214484679665738,2.517699115044248,2.4341252699784017,2.375796178343949,True,True,True,True,True,True,False,True,False,7.0,7.0,5,22,yf,False,0.5,0.5,1.216867469879518,True,,,,,,,,,2.0,1.0,shares_missing,非鉄金属,鉄鋼・非鉄,ＪＭＡＣＳ,,,False,False,,,,,False,False,False,False,False,False,6,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,0.7778993435448577,True,7,TT_not_all_pass; yield_unknown,False,False,False,False,74.03074433656957,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total
34440,817.0,880.08,550.4533333333334,489.375,1146.0,241.0,435.57,97.92880258899676,0.4563279857397504,1.2885154061624648,1.960144927536232,1.7789115646258504,True,True,True,True,False,True,False,True,False,8.0,8.0,5,12,yf,False,0.0,0.5,0.7058823529411765,True,,,,,,,7.45,,4.0,1.0,shares_missing; div_split_adjusted,金属製品,建設・資材,菊池製作所,,,False,False,109.66442953020135,,,0.9636363636363636,False,False,False,False,False,False,6,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,0.9003290110315464,True,7,TT_not_all_pass; yield_unknown,False,False,False,False,73.96440129449837,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; TT_not_all_pass; yield_unknown; data_missing:yield_total
68000,3075.0,2653.46,2038.8733333333332,1859.785,3745.0,1038.0,1662.94,96.8284789644013,0.36303191489361697,1.1670190274841437,1.5,1.1163110805230558,True,True,True,True,True,True,True,True,True,9.0,9.0,5,24,yf,False,1.0,0.5,0.7016487000634115,True,3154000000.0,1118000000.0,,1118000000.0,48.0,2228.1,95.58,23310685.0,3.0,1.0,,電気機器,電機・精密,ヨコオ,0.015609756097560976,0.015597020669806902,False,False,32.172002510985564,1.3800996364615592,0.044000897309991925,0.6988636363636364,True,False,False,False,False,False,6,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,False,1.3168557536466774,True,7,yield_below_2pct,False,False,False,False,73.91423948220066,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; yield_below_2pct
94120,3095.0,2493.76,1897.52,1760.795,3095.0,1018.0,1592.075,97.37864077669903,0.48869648869648863,1.2607742878013148,1.3218304576144035,1.9088345864661656,True,True,True,True,True,True,True,True,True,10.0,10.0,5,19,yf,False,1.0,1.0,0.31296712366454216,False,16599000000.0,7650000000.0,,7650000000.0,27.0,993.48,67.43,283358178.0,3.0,1.0,div_split_adjusted,情報･通信業,情報通信・サービスその他,スカパーＪＳＡＴホールディングス,0.008723747980613893,0.00872298308788275,False,False,45.8994512828118,3.115311833152152,0.018927162911864803,0.9285714285714286,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,0.21078717201166194,True,5,yield_below_2pct,True,True,False,False,73.68932038834951,E_div_yield; F_value_pass; yield_below_2pct
58210,4180.0,3511.62,2756.32,2436.185,4595.0,1027.0,2135.94,97.54045307443366,0.3462157809983897,1.1839080459770117,1.8167115902964959,2.0206677265500796,True,True,True,True,True,True,True,True,True,7.0,7.0,5,18,yf,False,1.0,1.0,0.25277901289461985,False,1646000000.0,632000000.0,,632000000.0,45.0,2625.11,137.36,14749658.0,3.0,1.0,div_split_adjusted,非鉄金属,鉄鋼・非鉄,平河ヒューテック,0.01076555023923445,0.010250825629231798,False,False,30.430984274898076,1.5923142268323993,0.026697561686258767,0.56,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,0.7092178770949722,True,7,yield_below_2pct,False,False,False,False,73.27022653721683,E_div_yield; F_value_pass; yield_below_2pct
