code,Name,delta_type,detail
43410,西菱電機,new,
78170,パラマウントベッドホールディングス,removed,
97760,札幌臨床検査センター,removed,
13810,アクシーズ,changed,core_pass: True -> False; core_pass_verified: True -> False; core_buyable_now: True -> False; core_buyable_now_verified: True -> False
16050,ＩＮＰＥＸ,changed,satellite_buyable_now: False -> True
17190,安藤・間,changed,satellite_buyable_now: True -> False
17210,コムシスホールディングス,changed,satellite_buyable_now: False -> True
18780,大東建託,changed,satellite_buyable_now: True -> False
19380,日本リーテック,changed,satellite_buyable_now: False -> True
20010,ニップン,changed,satellite_buyable_now: True -> False
23540,ＹＥ　ＤＩＧＩＴＡＬ,changed,satellite_buyable_now: True -> False
24710,エスプール,changed,core_pass: False -> True; core_pass_verified: False -> True
25030,キリンホールディングス,changed,satellite_buyable_now: False -> True
27370,トーメンデバイス,changed,satellite_buyable_now: False -> True
30210,パシフィックネット,changed,satellite_buyable_now: False -> True
31010,東洋紡,changed,satellite_buyable_now: False -> True
31050,日清紡ホールディングス,changed,satellite_buyable_now: False -> True
31390,ラクト・ジャパン,changed,core_pass: True -> False; core_pass_verified: True -> False
31770,ありがとうサービス,changed,core_buyable_now: False -> True
33550,クリヤマホールディングス,changed,core_pass: True -> False; core_pass_verified: True -> False; core_buyable_now: True -> False; core_buyable_now_verified: True -> False; satellite_buyable_now: False -> True
34070,旭化成,changed,satellite_buyable_now: False -> True
34330,トーカロ,changed,satellite_buyable_now: False -> True
34430,川田テクノロジーズ,changed,satellite_buyable_now: False -> True
39120,モバイルファクトリー,changed,satellite_buyable_now: False -> True
40160,ＭＩＴホールディングス,changed,core_pass: False -> True; core_pass_verified: False -> True
40270,テイカ,changed,satellite_buyable_now: True -> False
40780,堺化学工業,changed,satellite_buyable_now: False -> True
43200,ＣＥホールディングス,changed,satellite_buyable_now: True -> False
43680,扶桑化学工業,changed,satellite_buyable_now: False -> True
45770,ダイト,changed,satellite_buyable_now: True -> False
46290,大伸化学,changed,satellite_buyable_now: True -> False
46340,ａｒｔｉｅｎｃｅ,changed,satellite_buyable_now: False -> True
48000,オリコン,changed,core_buyable_now: True -> False; core_buyable_now_verified: True -> False
49920,北興化学工業,changed,satellite_buyable_now: False -> True
51870,クリエートメディック,changed,satellite_buyable_now: False -> True
52880,アジアパイルホールディングス,changed,satellite_buyable_now: False -> True
53040,ＳＥＣカーボン,changed,satellite_buyable_now: False -> True
53100,東洋炭素,changed,satellite_buyable_now: False -> True
53310,ノリタケ,changed,satellite_buyable_now: False -> True
53840,フジミインコーポレーテッド,changed,satellite_buyable_now: False -> True
56590,日本精線,changed,satellite_buyable_now: False -> True
58030,フジクラ,changed,satellite_buyable_now: True -> False
59220,那須電機鉄工,changed,satellite_buyable_now: False -> True
59450,天龍製鋸,changed,satellite_buyable_now: False -> True
59490,ユニプレス,changed,satellite_buyable_now: False -> True
59580,三洋工業,changed,satellite_buyable_now: False -> True
59620,浅香工業,changed,satellite_buyable_now: True -> False
61130,アマダ,changed,satellite_buyable_now: False -> True
61180,アイダエンジニアリング,changed,satellite_buyable_now: False -> True
61360,オーエスジー,changed,satellite_buyable_now: False -> True
61380,ダイジェット工業,changed,satellite_buyable_now: True -> False
61440,西部電機,changed,satellite_buyable_now: False -> True
62820,オイレス工業,changed,satellite_buyable_now: False -> True
62980,ワイエイシイホールディングス,changed,satellite_buyable_now: False -> True
63370,テセック,changed,satellite_buyable_now: False -> True
63650,電業社機械製作所,changed,satellite_buyable_now: True -> False
64320,竹内製作所,changed,satellite_buyable_now: False -> True
64540,マックス,changed,satellite_buyable_now: True -> False
64570,グローリー,changed,satellite_buyable_now: True -> False
64740,不二越,changed,satellite_buyable_now: False -> True
64980,キッツ,changed,satellite_buyable_now: False -> True
65050,東洋電機製造,changed,core_pass: True -> False; core_pass_verified: True -> False; core_buyable_now: True -> False; core_buyable_now_verified: True -> False
65180,三相電機,changed,satellite_buyable_now: True -> False
65430,日宣,changed,satellite_buyable_now: False -> True
65900,芝浦メカトロニクス,changed,satellite_buyable_now: False -> True
67630,帝国通信工業,changed,satellite_buyable_now: False -> True
67850,鈴木,changed,core_pass: True -> False; core_pass_verified: True -> False; core_buyable_now: True -> False; core_buyable_now_verified: True -> False; satellite_buyable_now: False -> True
67980,ＳＭＫ,changed,satellite_buyable_now: False -> True
68500,チノー,changed,satellite_buyable_now: False -> True
69080,イリソ電子工業,changed,core_pass: True -> False; core_pass_verified: True -> False; core_buyable_now: True -> False; core_buyable_now_verified: True -> False; satellite_buyable_now: False -> True
69120,菊水ホールディングス,changed,satellite_buyable_now: False -> True
69270,ヘリオス　テクノ　ホールディング,changed,satellite_buyable_now: False -> True
69580,日本シイエムケイ,changed,satellite_buyable_now: False -> True
69760,太陽誘電,changed,satellite_buyable_now: True -> False
70880,フォーラムエンジニアリング,changed,satellite_buyable_now: False -> True
71300,ヤマエグループホールディングス,changed,satellite_buyable_now: False -> True
71810,かんぽ生命保険,changed,satellite_buyable_now: True -> False
75100,たけびし,changed,satellite_buyable_now: True -> False
75990,ＩＤＯＭ,changed,satellite_buyable_now: False -> True
76090,ダイトロン,changed,satellite_buyable_now: False -> True
77130,シグマ光機,changed,satellite_buyable_now: True -> False
77350,ＳＣＲＥＥＮホールディングス,changed,satellite_buyable_now: False -> True
77950,ＫＹＯＲＩＴＳＵ,changed,satellite_buyable_now: True -> False
79370,ツツミ,changed,satellite_buyable_now: False -> True
79440,ローランド,changed,satellite_buyable_now: False -> True
80160,オンワードホールディングス,changed,satellite_buyable_now: False -> True
80300,中央魚類,changed,core_pass: False -> True; core_pass_verified: False -> True; core_buyable_now: False -> True; core_buyable_now_verified: False -> True; satellite_buyable_now: True -> False
80510,山善,changed,satellite_buyable_now: False -> True
80530,住友商事,changed,satellite_buyable_now: False -> True
80980,稲畑産業,changed,satellite_buyable_now: False -> True
81250,ワキタ,changed,core_buyable_now: True -> False; core_buyable_now_verified: True -> False
81350,ゼット,changed,core_buyable_now: True -> False; core_buyable_now_verified: True -> False
81420,トーホー,changed,satellite_buyable_now: True -> False
81730,上新電機,changed,satellite_buyable_now: False -> True
83430,秋田銀行,changed,satellite_buyable_now: True -> False
83580,スルガ銀行,changed,satellite_buyable_now: True -> False
83950,佐賀銀行,changed,satellite_buyable_now: True -> False
84110,みずほフィナンシャルグループ,changed,satellite_buyable_now: False -> True
85370,大光銀行,changed,satellite_buyable_now: False -> True
85500,栃木銀行,changed,satellite_buyable_now: False -> True
85510,北日本銀行,changed,satellite_buyable_now: False -> True
86010,大和証券グループ本社,changed,satellite_buyable_now: False -> True
86970,日本取引所グループ,changed,satellite_buyable_now: False -> True
87250,ＭＳ＆ＡＤインシュアランスグループホールディングス,changed,satellite_buyable_now: True -> False
87370,あかつき本社,changed,satellite_buyable_now: False -> True
88180,京阪神ビルディング,changed,satellite_buyable_now: True -> False
89960,ハウスフリーダム,changed,satellite_buyable_now: False -> True
90030,相鉄ホールディングス,changed,satellite_buyable_now: True -> False
92740,ＫＰＰグループホールディングス,changed,satellite_buyable_now: True -> False
93060,東陽倉庫,changed,satellite_buyable_now: False -> True
93100,日本トランスシティ,changed,satellite_buyable_now: True -> False
